id,pick_id,match_id,base_points,longshot_bonus,multiplier_applied,points_earned,match_result,created_at
005e3ce7-5731-4690-a3cb-ef563320a797,a3f9c63e-85db-445b-b1fb-8a8127a549f5,97d24d3d-e7f7-4611-b7b3-0609fec069b3,2,1,2,2,win,2026-06-24 21:25:07.162105+00
02cbd6ac-86bc-4086-82f3-ad4377d5efb2,326b80fe-af3a-4047-89ff-de1364d09cc4,5f2999a7-5535-4fe4-b0ba-a058b61fd138,2,0,2,2,win,2026-06-25 21:58:11.451425+00
067816e1-1af2-4639-a7b9-f9afb03837b1,d97b978b-254a-4a3e-82ac-06c3c6f91722,5f2999a7-5535-4fe4-b0ba-a058b61fd138,2,0,2,2,win,2026-06-25 21:58:11.451425+00
06d87547-5592-454a-af80-92fad7b3437e,9f7299c3-e804-4f92-b0ac-172375b575bd,89faf49a-c4d3-43da-9c28-461f46e56075,1,0,3,1,draw,2026-06-26 05:44:05.175976+00
0701d2fa-6eb8-420f-9fcc-07ae41d4403b,6f773ba7-cbac-42ac-a96f-cf5a47ff0611,371dfc3a-483b-4b55-9462-6a8b23f9cb6e,3,0,3,3,win,2026-06-22 03:40:13.446856+00
0730fcc5-e9e5-4d33-a812-eae5c6916deb,819eefc5-3492-44aa-85d7-1e2c7a20f656,799ad195-8136-4549-b477-95fe02eaef8e,3,0,3,3,win,2026-06-18 05:40:17.949665+00
08e27717-de98-4b7a-8504-209c30240aa4,91cec3ab-120d-4ea0-9a53-082214e3814c,97d24d3d-e7f7-4611-b7b3-0609fec069b3,3,1,3,3,win,2026-06-24 21:25:07.162105+00
0992770c-e689-4b6c-a53f-c7d1b470d7a8,d2beeaf2-af92-4136-b828-796fcd69acb0,24a55af4-cc2c-4c75-a9c3-f0ba07f8965e,3,0,3,3,win,2026-06-25 05:50:36.628916+00
09948452-8242-426e-8d33-6b3ceb0ca004,45661692-2f33-4243-ae8e-029025fffefc,799ad195-8136-4549-b477-95fe02eaef8e,2,0,2,2,win,2026-06-18 05:40:17.949665+00
0a5cc880-d142-40da-94a5-a257ed3317d8,6f6af635-58ee-47f3-872e-d1d6479942fa,bd96de28-090a-4f99-8d20-7fb5e86a7380,3,0,3,3,win,2026-06-23 18:58:16.142084+00
0d1480c0-18e7-4659-91e4-a1b060739148,3617d909-af94-4722-857f-9250fa7e1573,2b8d5341-a73c-40fb-a9e4-975e879b65d3,1,0,2,1,draw,2026-06-12 21:05:22.303512+00
0e88a134-935b-4113-abd6-23d2185f0e64,f8034bc4-2d20-47f7-81a6-e92683fce7f8,15148b9f-4d4c-40b4-8905-e533ff0ca8d4,2,0,2,2,win,2026-06-15 05:47:03.79509+00
0ea590fa-51ed-4406-a82a-6a80ad834cc7,aa47e00f-2e87-4503-93f8-c3df70c26fa8,0bcfd687-dbd6-4369-bb0f-8fd682346491,2,0,2,2,win,2026-07-02 05:40:54.454317+00
0ee4eb63-ecb9-4846-b076-c02c0dedee0d,70b072ea-876e-4856-80f7-be94e89104a7,d094ec78-e479-4f3b-b030-b45e918c43ba,2,0,2,2,win,2026-06-23 05:47:32.630108+00
0f023b11-e2af-433d-8542-432bd133ebb1,13e39c16-7714-4062-ba07-f52043c35c66,4ec3afba-9a7c-4409-87d0-7d3f64316c22,0,0,2,0,loss,2026-07-14 21:00:04.198853+00
0f53aca2-a262-4061-b2bb-d17c0b130c92,ecb7e696-3b92-4d09-8b5f-1eead1d33994,7a401e03-6574-47d7-b91c-a7de7c3ed1dd,2,0,2,2,win,2026-07-10 20:59:48.403655+00
10649a64-0c13-45ce-8924-d2e8de68dcb0,2edf3ae8-fee1-4404-981d-44e62e53dba4,84b62dcf-7110-46f4-ac2c-d4d5ccfbce8b,1,0,2,1,draw,2026-06-18 19:13:13.632799+00
110b6283-461f-4697-bde3-e72066ed32fa,e6fbc360-6cd5-4e38-bb44-e09a352bbe98,84b62dcf-7110-46f4-ac2c-d4d5ccfbce8b,1,0,3,1,draw,2026-06-18 19:13:13.632799+00
113e483d-9ae2-4246-9e2d-8d8c15f79777,4edee4df-2901-47b3-aa1e-5b5b44734547,447d4217-d302-49c0-980c-cd1359ccb3c5,1,0,3,1,draw,2026-06-21 06:24:54.356673+00
121751ac-b0f3-48a3-9760-d681f0892721,06476d60-d7e3-4e4c-99f2-f554740acc3e,64167916-7a8e-4126-bdc2-445e6dfd9cd8,2,0,2,2,win,2026-06-17 06:14:22.426639+00
12f21135-05bb-469a-8e48-1e707a436a6d,48fa004d-e8e5-4ec2-8577-83d5b894ce7c,7c21e0db-01cc-4536-bfe0-c6c4997e76ad,2,0,2,2,win,2026-06-15 05:47:39.431222+00
15b679b0-14c2-40f5-9072-ad81663e6e97,a8396f71-0bef-4602-af64-a4c45d18bf56,5688eceb-e867-4cbb-a673-0677aacc75f2,1,0,3,1,draw,2026-06-22 03:40:02.230937+00
1608d5d9-45a2-4430-8d8b-1aae5b76416d,383e528c-694d-44c2-a9e0-68f39272a79e,447d4217-d302-49c0-980c-cd1359ccb3c5,1,0,3,1,draw,2026-06-21 06:24:54.356673+00
1862e0ed-00cc-4dce-b051-df0b7f88924c,0cee0956-6598-40ce-b920-77efc52500ba,64167916-7a8e-4126-bdc2-445e6dfd9cd8,3,0,3,3,win,2026-06-17 06:14:22.426639+00
1a213706-e9a8-4642-b5aa-70798f73ff84,7a87d60e-ed48-456c-b5db-d5c6c17573a9,1f013a7e-8052-415d-8090-99a4cfba5780,1,0,2,1,loss,2026-06-29 23:29:18.775185+00
1b653f0f-3f76-480d-9080-f973676e47d1,7d5ee64b-d2f8-4cbd-a675-46adc213eab1,1f013a7e-8052-415d-8090-99a4cfba5780,1,0,2,1,loss,2026-06-29 23:29:18.775185+00
1cd0880a-b96c-46de-a92e-e51be69b3458,766234a8-baa7-47c2-a44a-9414ba5208e1,64167916-7a8e-4126-bdc2-445e6dfd9cd8,2,0,2,2,win,2026-06-17 06:14:22.426639+00
1d4d7f2c-7915-4d26-b240-dec622ab686e,62f9f805-a897-41b6-948c-6d319f3de4b7,0bcfd687-dbd6-4369-bb0f-8fd682346491,2,0,2,2,win,2026-07-02 05:40:54.454317+00
1e0f13f6-efbc-49d9-826f-3305b8ce8f50,6a813b11-3c44-4740-82a7-79c1475309b3,ff4b8afa-c644-4ef8-9a42-56784b08adcd,2,0,2,2,win,2026-06-21 06:25:04.634312+00
1eb9abe3-fea0-4100-887b-753ccbfcb038,170f69e3-16b4-48a3-84fe-a0b3fd1a6f58,2737b00b-6825-43fa-900a-0a522772306f,3,0,3,3,win,2026-06-14 06:10:59.746555+00
203743d9-f1c8-4a48-a3c5-9ec86273af58,f5b14944-30e9-43de-a233-875d89bb555b,64167916-7a8e-4126-bdc2-445e6dfd9cd8,2,0,2,2,win,2026-06-17 06:14:22.426639+00
205c8136-805f-4ca3-9e17-66b9fecd656f,ace84946-ad1c-498e-bc50-841158b9916c,84b62dcf-7110-46f4-ac2c-d4d5ccfbce8b,1,0,2,1,draw,2026-06-18 19:13:13.632799+00
20d244ba-510b-43b0-9543-80992fbaaf46,043c8449-c751-4a8a-810f-72e2ecd29045,7ea5f707-1221-4f5e-afd4-b87a6704c790,2,0,2,2,win,2026-06-28 20:57:27.993667+00
215367c1-4ab0-497c-adab-68502ec29f9b,b8cea0d2-2503-4e46-80d9-009bc02fb93d,2737b00b-6825-43fa-900a-0a522772306f,3,0,3,3,win,2026-06-14 06:10:59.746555+00
21eb48a6-ea8d-47e4-bc78-57ea70983db8,dfa1c6af-f9ed-41be-95b2-acc51621e98a,2737b00b-6825-43fa-900a-0a522772306f,2,0,2,2,win,2026-06-14 06:10:59.746555+00
228e0262-8525-40c2-a125-940be8f2eb55,7a0f87f4-5d10-484f-9170-1d1cf6b672f8,84b62dcf-7110-46f4-ac2c-d4d5ccfbce8b,1,0,3,1,draw,2026-06-18 19:13:13.632799+00
