id,name,round_type,phase_number,deadline,is_complete,sort_order,created_at
27ce4fc5-3de9-4cf0-bfc5-5fa0addb7081,Round of 16,knockout,,2026-07-04 16:00:00+00,true,5,2026-04-06 07:37:08.161165+00
2fd614f4-1aa7-43d5-beeb-be06f5530a85,3rd Place,knockout,,2026-07-18 20:00:00+00,false,9,2026-04-14 18:08:32.851272+00
318f2b2d-d52a-4102-bd8d-7ab594a40f42,Group Phase 0,group,,2026-06-01 00:00:00+00,true,0,2026-04-30 17:22:15.854953+00
32854b42-0d3a-4e2e-9555-00cd1e6c83c6,Group Phase 1,group,1,2026-06-11 18:00:00+00,true,1,2026-04-06 07:37:08.161165+00
5b9456a0-db45-445f-87a0-58737bb89313,Group Phase 3,group,3,2026-06-24 18:00:00+00,true,3,2026-04-06 07:37:08.161165+00
5f39c536-340b-4981-b59a-4a9d7aff9e1e,Round of 32,knockout,,2026-06-28 18:00:00+00,true,4,2026-04-06 07:37:08.161165+00
6aa7c75c-0fc8-46f0-8219-84f969510a0e,Semi Finals,knockout,,2026-07-14 18:00:00+00,true,7,2026-04-06 07:37:08.161165+00
aa9754bd-50eb-4785-8698-e56c6d3cb661,Quarter Finals,knockout,,2026-07-09 19:00:00+00,true,6,2026-04-06 07:37:08.161165+00
b9bd6954-7f07-432a-af76-2dc2d3e9ab1f,Final,knockout,,2026-07-19 18:00:00+00,true,8,2026-04-06 07:37:08.161165+00
c22e6746-73c1-4060-9194-eb35359c955e,Group Phase 2,group,2,2026-06-18 15:00:00+00,true,2,2026-04-06 07:37:08.161165+00
