id,team_id,odds_decimal,odds_fractional,fetched_at
00233824-856b-465d-9236-d53a6facb921,cd984ce3-2f2c-41d5-a7ba-137060caf8ae,81,80/1,2026-06-11 12:52:58.271+00
00916430-4d0a-46f1-9105-7683707267bf,e171e736-56f2-44fa-92b5-b0653ea2ce2a,41,40/1,2026-06-24 06:19:29.232+00
00e747b4-547d-4f41-a9d3-7dc9c3142c70,f2c7a0c3-9a4c-4e3f-92a3-39abff0ce8e2,4.33,10/3,2026-06-28 12:48:00.061+00
00fe486c-1a5b-4b76-bee9-5c1c9544c9cb,7f560d60-00fc-46e1-b81b-4e7234b7cb04,2001,2000/1,2026-06-14 18:43:53.623+00
01baffda-1cc3-46b7-8309-07090c33d6e2,f2c7a0c3-9a4c-4e3f-92a3-39abff0ce8e2,2.5,6/4,2026-07-10 06:46:45.711+00
021858c8-8ff0-4fb9-878f-222ebeafb7f5,acfbd82a-7005-41b9-9613-606ceefc857e,34,33/1,2026-07-12 00:11:35.213+00
021c654d-58b6-4d19-a1eb-9d0d6e2598c7,54ef8b7c-5afd-4a48-a3b9-d6701dd757f9,320,319/1,2026-04-21 12:08:49.475+00
0221a4a0-1760-4741-9a7c-c5331a4580b8,a1cbc3f2-826a-4c04-803b-b5c2930d3c42,840,839/1,2026-04-21 12:08:49.475+00
024afbe2-581e-4091-badd-5dad8a6f280c,95b1e39e-97c3-4d45-9714-3f507d7c52f1,5,4/1,2026-07-07 18:08:32.103+00
032dfb56-563e-4c8c-9fd4-f4847466d480,6ea9375b-d599-463f-96e6-c87d9209e9b2,5.5,9/2,2026-07-10 06:46:45.711+00
03576910-9214-48ef-889b-8986d3a363ab,622bb3ef-bc6e-4c9a-9efe-aae4d0f95822,1001,1000/1,2026-05-22 13:11:30.343+00
0390e766-9f73-4796-92ec-368bfcb214a1,910a4a31-591d-4c32-8b57-b0d0bbde5a26,101,100/1,2026-06-18 12:42:27.657+00
055637b1-a973-4d54-8538-d5130b0fae34,aa0baf4e-af82-4020-9093-715971d63105,2001,2000/1,2026-05-22 13:11:30.343+00
05618764-49b8-483c-8043-9abf8d68a30d,f99d6725-238c-4d95-8502-9d25b4a6e89e,251,250/1,2026-06-23 11:50:21.932+00
05838f66-f4f8-4d10-bd26-8f99eaa3f498,fcc03c57-8857-4986-98b0-0e30fb42ab2a,60,59/1,2026-04-10 09:36:20.58+00
060a8fde-4f8e-4a6f-96bf-573453a9be67,fcc03c57-8857-4986-98b0-0e30fb42ab2a,51,50/1,2026-06-29 23:44:55.782+00
06351230-d1a3-4604-a8da-ce4b442ac2e8,6527ec07-bc6b-4b53-8bff-90b6f622aece,29,28/1,2026-07-02 20:58:38.911+00
080aa908-a1cb-45ea-a42d-4eba9909cafe,a1cbc3f2-826a-4c04-803b-b5c2930d3c42,640,639/1,2026-04-14 03:43:23.059+00
082cf91a-0349-4466-9af0-3a815399889d,1b2fe4cc-3105-4e0b-b1ff-06f91c466ef7,9.5,17/2,2026-07-02 20:58:38.911+00
085d6d0c-5f29-4d93-a6ce-e33f114c9dba,a1cbc3f2-826a-4c04-803b-b5c2930d3c42,880,879/1,2026-04-24 21:33:21.013+00
0998ef1b-ca7b-4ff1-93b8-61ba81e4537a,f2c7a0c3-9a4c-4e3f-92a3-39abff0ce8e2,7.2,31/5,2026-04-10 09:36:20.58+00
0a1fc92a-ada7-49f6-8483-d8ac2cb6f8cf,8682004e-e186-4705-aa29-9704b2815dc4,41,40/1,2026-06-27 05:44:45.991+00
0b6be7fb-e2d3-4ad3-8cb8-f045cfd0cac4,acfbd82a-7005-41b9-9613-606ceefc857e,34,33/1,2026-07-07 23:15:11.541+00
0cb02390-fb41-40ba-b159-7725dc60972e,151a98cf-99e8-4e7a-ab57-396a13db4a72,101,100/1,2026-05-22 13:11:30.343+00
0ce1026b-f342-4e2b-a766-35a2045500ff,d6209663-7a5c-4736-b346-cde299b554b2,400,399/1,2026-04-21 12:08:49.475+00
0ceed2b6-21dd-4127-8ce0-db79fbc69b2c,f2c7a0c3-9a4c-4e3f-92a3-39abff0ce8e2,2.5,6/4,2026-07-05 12:22:50.646+00
0d2b41dd-de85-474e-b730-a0d1d1e81021,8cccecd8-b1ab-4159-bf35-29ef0db369c4,81,80/1,2026-05-22 13:11:30.343+00
0d536f75-76f3-41a7-8452-2ab8b6ac50a9,52f066d8-0a7a-42c5-8a6b-103ec4ba2c91,251,250/1,2026-06-22 13:54:32.611+00
0ea2b0da-d3b6-4a76-9657-545406efcbc9,1b2fe4cc-3105-4e0b-b1ff-06f91c466ef7,4.33,10/3,2026-07-12 08:29:35.443+00
0f007b66-e49c-4981-a63a-268c38c5f489,f27875c8-4818-4323-8d45-333b7f82cf57,1501,1500/1,2026-06-18 12:42:27.657+00
114cbd82-fc3f-4163-80eb-385195d5539f,f99d6725-238c-4d95-8502-9d25b4a6e89e,251,250/1,2026-06-29 23:44:55.782+00
11ff087e-e4ce-49ea-b1dc-be935907ed02,e176dd2c-4446-4811-b4cc-fc28e9c2ab25,67,66/1,2026-05-22 13:11:30.343+00
150d0f22-087a-4ecf-b521-89b0185283f6,61d8b501-96d1-4043-a2b7-de27e9b137d7,251,250/1,2026-05-22 13:11:30.343+00
158c7fbe-c47d-49e5-b0d0-41286a253769,cba2c884-3603-4b90-976e-49389b04f562,9,8/1,2026-05-22 13:11:30.343+00
16e69b9a-37bc-42fd-a25d-4cddc8b87d37,52eaa3b4-081b-4393-b291-d69c644c612e,101,100/1,2026-05-22 13:11:30.343+00
17a59dc8-8926-4915-8eef-36bfb6b4ee39,95b1e39e-97c3-4d45-9714-3f507d7c52f1,5,4/1,2026-06-30 17:41:19.132+00
192587fa-1e52-4b5a-a829-a2e5050bc747,e171e736-56f2-44fa-92b5-b0653ea2ce2a,48,47/1,2026-04-14 03:43:23.059+00
1b53eb70-6419-45c8-acff-034b80887092,d6209663-7a5c-4736-b346-cde299b554b2,301,300/1,2026-06-12 16:38:05.893+00
1bc96fd9-afcf-4b24-848b-af09bcd3e806,151a98cf-99e8-4e7a-ab57-396a13db4a72,110,109/1,2026-04-10 09:36:20.58+00
1c07a844-c27c-44a4-8877-037c60efeea0,95b1e39e-97c3-4d45-9714-3f507d7c52f1,4.5,7/2,2026-06-29 23:44:55.782+00
1cc6045d-9d37-4bf6-9952-cd89d49f9ffd,6ea9375b-d599-463f-96e6-c87d9209e9b2,5,4/1,2026-07-08 21:00:16.181+00
1d51f8c2-d90e-4521-9896-adf38c6666d8,4976e7fd-9b45-4cc7-b741-fe801fcee2d0,201,200/1,2026-05-22 13:11:30.343+00
1d772b0d-38ad-4cf2-aca6-0db245075a5a,6ea9375b-d599-463f-96e6-c87d9209e9b2,4,3/1,2026-07-12 00:11:35.213+00
1dd4b161-c62b-44c8-8e31-25ab9f3d9b59,52eaa3b4-081b-4393-b291-d69c644c612e,151,150/1,2026-06-23 11:50:21.932+00
1e54ffad-a4f2-41c8-8275-1bae5c111d64,b6afbe52-5067-4263-a750-6101f6efedc0,430,429/1,2026-04-14 03:43:23.059+00
1e8f7640-eac8-432a-8c04-390da6305b45,600575e1-d737-452a-abec-c6e22da92787,1000,999/1,2026-04-10 09:36:20.58+00
